t,tau,S_star,S_star_raw,K_minus_S_star,dS
0.0909375,0.9090625,81.31662161533576,81.25,18.683378384664238,0.125
0.09124999999999994,0.9087500000000001,81.31980424152134,81.25,18.68019575847866,0.125
0.09156249999999999,0.9084375,81.32310615625757,81.25,18.676893843742434,0.125
0.09187499999999993,0.9081250000000001,81.32654257288252,81.25,18.673457427117484,0.125
0.09218749999999998,0.9078125,81.33012859313303,81.25,18.669871406866974,0.125
0.09250000000000003,0.9075,81.33389149506824,81.25,18.666108504931756,0.125
0.09281249999999996,0.9071875,81.33785444194572,81.25,18.662145558054277,0.125
0.09312500000000001,0.906875,81.34207689119047,81.25,18.657923108809527,0.125
0.09343749999999995,0.9065625,81.3465959906588,81.25,18.6534040093412,0.125
0.09375,0.90625,81.35158872049668,81.25,18.64841127950332,0.125
0.09406249999999994,0.9059375000000001,81.35711648403027,81.25,18.64288351596973,0.125
0.09437499999999999,0.905625,81.36423057493231,81.25,18.635769425067693,0.125
0.09468750000000004,0.9053125,81.3290443766896,81.375,18.670955623310405,0.125
0.09499999999999997,0.905,81.32992138014046,81.375,18.670078619859538,0.125
0.09531250000000002,0.9046875,81.33081007810328,81.375,18.669189921896717,0.125
0.09562499999999996,0.904375,81.33171070681102,81.375,18.668289293188977,0.125
0.09593750000000001,0.9040625,81.33262350903641,81.375,18.66737649096359,0.125
0.09624999999999995,0.90375,81.3335487343402,81.375,18.666451265659802,0.125
0.0965625,0.9034375,81.33448663929663,81.375,18.665513360703372,0.125
0.09687499999999993,0.9031250000000001,81.33543748779925,81.375,18.664562512200746,0.125
0.09718749999999998,0.9028125,81.33640155126771,81.375,18.663598448732287,0.125
0.09750000000000003,0.9025,81.3373791090153,81.375,18.662620890984698,0.125
0.09781249999999997,0.9021875,81.33837044846597,81.375,18.661629551534034,0.125
0.09812500000000002,0.901875,81.3393758655473,81.375,18.660624134452704,0.125
0.09843749999999996,0.9015625,81.34039566496136,81.375,18.659604335038637,0.125
0.09875,0.90125,81.34143016058275,81.375,18.658569839417254,0.125
0.09906249999999994,0.9009375000000001,81.34247967578351,81.375,18.65752032421649,0.125
0.09937499999999999,0.900625,81.34354454385449,81.375,18.65645545614551,0.125
0.09968749999999993,0.9003125000000001,81.34462510840325,81.375,18.65537489159675,0.125
0.09999999999999998,0.9,81.34572172377035,81.375,18.654278276229647,0.125
0.10031250000000003,0.8996875,81.34683475551378,81.375,18.653165244486217,0.125
0.10062499999999996,0.899375,81.34796458085543,81.375,18.652035419144568,0.125
0.10093750000000001,0.8990625,81.34911158922341,81.375,18.650888410776588,0.125
0.10124999999999995,0.89875,81.35027618276727,81.375,18.649723817232726,0.125
0.1015625,0.8984375,81.35145877694454,81.375,18.64854122305546,0.125
